Total;England;Northern Ireland;Scotland;Wales;2 to 4;5 to 24;25 to 49;50 to 99;100 to 249;250+;5+;100+;Agriculture;Manufacturing;Electricity, Gas and Water;Construction;Wholesale and Retail;Hotels and restaurants;Transport, Storage and Comms;Financial services;Business services;Public admin.;Education;Health and social work;Arts and Other Services;Primary Sector and Utilities;Manufacturing;Construction;Trade, Accommodation and Transport;Business and Other Services;Non-Market Services;Seeking a profit;Charity / voluntary sector;Local or Central govt funded;Single-site;Multi-site (Head office);Multi-site;No vacancies;Any vacancies;Any HtF vacancies;Vacancies but none HtF;No HtF vacancies;SSVs;All HTFVs are SSVs;HtF vacancies not skills shortage;No SSVs;Have any skills gaps;Do not have any skills gaps;Any training;Both on-the-job and off-the-job training;On-the-job only;Off-the-job only;Any Off-the-job;None;Training plan;Training budget;Business plan;Any plan / budget;Any Training plan / budget;All plans / budgets;None;<20%;20-80%;>80%;Very Low;Low;Medium;High;Very High;Yes;No
;a;b;c;d;a;b;c;d;e;f;g;h;a;b;c;d;e;f;g;h;i;j;k;l;m;a;b;c;d;e;f;a;b;c;a;b;c;a;b;c;d;e;f;g;h;i;a;b;a;b;c;d;e;*f;a;b;c;d;e;f;g;a;b;c;a;b;c;d;e;a;b
69541;57422;2869;4894;4356;10317;39461;10742;5547;2584;890;59224;3474;1871;5055;796;5044;11470;6849;5981;1920;10623;851;5300;7941;5840;2807;4915;5044;21422;21261;14092;55596;7533;6120;38248;7128;24054;47883;21658;8245;13413;61296;6144;5809;2101;63397;16256;53285;69541;42481;15611;11449;53930;0;43837;34360;52657;60823;51156;24474;8718;29525;30829;6888;1493;5893;13529;17766;10699;34644;34897
1163955;976742;33769;101981;51463;465144;520618;93076;47937;25848;11332;698811;37179;48364;63086;7534;90209;222148;100996;79220;28319;246191;17847;54239;116625;89178;57122;61861;90209;355880;410173;188710;957783;128672;73260;705433;106267;350472;878390;285565;112731;172834;1051224;84842;80865;27889;1079113;208174;955781;1163955;624702;305494;233759;858461;0;650860;500636;826581;969775;770983;337747;194180;444039;522686;164899;28816;109838;235365;298139;177563;596819;567137
15983;13485;408;1453;637;0;7178;4070;2788;1339;608;15983;1948;200;2554;206;682;3794;1300;1391;180;2640;246;853;1172;764;409;2551;682;6041;4028;2271;13748;1007;1142;9109;2107;4750;10622;5361;2067;3294;13916;1719;1613;348;14264;4535;11447;15983;7417;3790;4777;12193;0;7781;6469;10947;12765;9846;3883;3218;8904;5458;871;308;1472;3551;4409;2438;8066;7917
1%;1%;1%;1%;1%;0%;1%;4%;6%;5%;5%;2%;5%;*%;4%;3%;1%;2%;1%;2%;1%;1%;1%;2%;1%;1%;1%;4%;1%;2%;1%;1%;1%;1%;2%;1%;2%;1%;1%;2%;2%;2%;1%;2%;2%;1%;1%;2%;1%;1%;1%;1%;2%;1%;0%;1%;1%;1%;1%;1%;1%;2%;2%;1%;1%;1%;1%;2%;1%;1%;1%;1%
;;;;;;a;abg;abcg;abg;abg;ab;abcg;;adefghijklm;adefhiklm;;adfhilm;adhm;adfhilm;;a;a;adhilm;a;;;acdef;;acef;;ace;b;;b;;ac;;;aehi;aei;aehi;;aehi;aehi;;;b;;b;;;abce;b;;;;f;f;;;abcdef;bc;c;;;;;;;;
50607;42369;1017;4978;2243;0;36085;8029;3733;2007;753;50607;2759;1210;5807;375;2938;12510;5662;3645;1330;9133;631;1665;2987;2714;1681;5711;2938;20096;14897;5283;44638;3562;2147;30427;6335;13821;36520;14086;5500;8586;45106;4279;4139;1221;46327;12988;37618;50607;23343;13631;13632;36975;0;23824;19401;34774;40671;30108;11751;9936;24873;19360;4492;1780;5520;11735;13293;7602;25522;25085
4%;4%;3%;5%;4%;0%;7%;9%;8%;8%;7%;7%;7%;3%;9%;5%;3%;6%;6%;5%;5%;4%;4%;3%;3%;3%;3%;9%;3%;6%;4%;3%;5%;3%;3%;4%;6%;4%;4%;5%;5%;5%;4%;5%;5%;4%;4%;6%;4%;4%;4%;4%;6%;4%;0%;4%;4%;4%;4%;4%;3%;5%;6%;4%;3%;6%;5%;5%;4%;4%;4%;4%
;b;;b;b;;a;abfgh;ab;a;a;a;a;;acdefghijklm;adklm;l;adgijklm;adgijklm;adiklm;adiklm;aklm;;;;;;acdef;;acef;f;;bc;;;c;ac;;;aei;aei;aei;;aei;aei;;;b;;b;;b;abce;b;;;f;abef;abef;af;;abcdef;bc;c;;cde;e;de;;;;
95687;81279;2734;7607;4066;31303;50736;7489;3383;2096;680;64384;2775;4304;8291;562;8585;20868;8186;6778;1851;21042;1028;2644;5293;6255;4901;8256;8585;32274;32706;8965;85997;5819;3491;64455;9225;21971;73528;22159;8883;13276;86804;6803;6425;2080;88884;20414;75272;95687;42061;24489;29136;71198;0;41113;32499;62131;73188;51948;19152;22498;38857;46004;8518;2714;11811;23016;25289;13710;50560;45127
8%;8%;8%;7%;8%;7%;10%;8%;7%;8%;6%;9%;7%;9%;13%;7%;10%;9%;8%;9%;7%;9%;6%;5%;5%;7%;9%;13%;10%;9%;8%;5%;9%;5%;5%;9%;9%;6%;8%;8%;8%;8%;8%;8%;8%;7%;8%;10%;8%;8%;7%;8%;12%;8%;0%;6%;6%;8%;8%;7%;6%;12%;9%;9%;5%;9%;11%;10%;8%;8%;8%;8%
;c;;;;;acdefgh;adf;;af;;acdfh;;hjklm;acdefghijklm;kl;fhijklm;fhijklm;hjklm;hjklm;kl;hjklm;;;;kl;f;acdef;ef;ef;f;;bc;;;c;c;;bd;;;;bd;;;;bd;b;;b;;b;abce;b;;f;f;abef;abef;af;;abcdef;c;c;;e;cde;de;e;;b;
92875;77352;2372;9267;3884;42447;40955;5020;2920;1253;280;50427;1533;6410;6393;652;8675;18180;8042;7048;1962;20280;871;2906;5801;5655;7143;6312;8675;28958;32209;9578;81130;8004;3461;64025;8168;20521;73079;19796;8489;11307;84385;6489;6185;2001;86386;17559;75316;92875;43557;23968;25349;68907;0;41912;32765;58184;71146;52541;19048;21728;35780;43165;11858;3494;11323;20699;25567;11911;47434;45440
8%;8%;7%;9%;8%;9%;8%;5%;6%;5%;2%;7%;4%;13%;10%;9%;10%;8%;8%;9%;7%;8%;5%;5%;5%;6%;13%;10%;10%;8%;8%;5%;8%;6%;5%;9%;8%;6%;8%;7%;8%;7%;8%;8%;8%;7%;8%;8%;8%;8%;7%;8%;11%;8%;0%;6%;7%;7%;7%;7%;6%;11%;8%;8%;7%;12%;10%;9%;9%;7%;8%;8%
;;;abd;;bcdefgh;cdefgh;fh;efh;f;;cdefh;f;bcdefghijklm;efghijklm;jklm;efhijklm;jklm;jklm;hjklm;jkl;jklm;;;;kl;bcdef;def;def;f;f;;bc;c;;bc;c;;bcd;;d;;bd;d;d;;bd;b;;b;;b;abce;b;;f;f;abf;abef;af;;abcdef;c;c;;bcde;cde;e;e;;;
50674;42236;1463;4456;2518;211;40891;5206;2660;1377;328;50462;1705;2081;3816;624;3379;11113;4309;4157;1095;9832;695;2226;3421;3925;2740;3782;3379;17419;17013;6341;43345;4343;2705;30448;5833;14192;36840;13833;5506;8327;45168;4343;4108;1162;46330;13428;37245;50674;29600;10288;10786;40386;0;28362;22156;36113;42819;34477;14059;7854;19443;25222;4376;1110;5302;11288;14160;6805;24067;26606
4%;4%;4%;4%;5%;*%;8%;6%;6%;5%;3%;7%;5%;4%;6%;8%;4%;5%;4%;5%;4%;4%;4%;4%;3%;4%;5%;6%;4%;5%;4%;3%;5%;3%;4%;4%;5%;4%;4%;5%;5%;5%;4%;5%;5%;4%;4%;6%;4%;4%;5%;3%;5%;5%;0%;4%;4%;4%;4%;4%;4%;4%;4%;5%;3%;4%;5%;5%;5%;4%;4%;5%
;;;;;;acdefgh;afh;afh;af;a;acdefh;af;l;adefhijklm;abdefghijklm;l;dfhikl;l;dfhiklm;l;l;;l;;l;cf;acdef;;cef;f;;bc;;;;ac;;;aei;aei;aei;;aei;aei;;;b;;c;ac;;c;ac;;;;;;;;;c;ac;;;e;e;e;;;a
155792;133183;3743;11307;7559;98765;45109;5958;3527;1675;759;57027;2434;10884;8317;1069;16503;28551;9842;13378;2661;37346;1736;4400;9645;11459;12042;8228;16503;42755;60482;15781;133215;15924;6235;109113;13706;32860;126242;29549;12132;17418;143660;9583;9213;2549;146209;22231;133561;155792;68871;44976;41945;110816;0;68714;55100;99213;118539;85217;32972;37253;57769;69469;24992;5877;16172;35610;40764;20434;81852;73940
13%;14%;11%;11%;15%;21%;9%;6%;7%;6%;7%;8%;7%;23%;13%;14%;18%;13%;10%;17%;9%;15%;10%;8%;8%;13%;21%;13%;18%;12%;15%;8%;14%;12%;9%;15%;13%;9%;14%;10%;11%;10%;14%;11%;11%;9%;14%;11%;14%;13%;11%;15%;18%;13%;0%;11%;11%;12%;12%;11%;10%;19%;13%;13%;15%;20%;15%;15%;14%;12%;14%;13%
;bc;;;bc;bcdefgh;cdefgh;;c;;;cdeh;;bcdefghijklm;fhjkl;fhjkl;bcefhijklm;fhjkl;kl;befhijklm;;befhjklm;;;;fhjkl;bcdef;df;bdef;f;bdf;;bc;c;;bc;c;;bcdefghi;;h;;bcdfgh;bdh;bdh;;bcdfgh;;a;be;;abe;abce;b;;f;af;abef;abef;af;;abcdef;;;ab;bcde;de;de;e;;b;
86206;70736;2732;8622;4116;39447;37798;4487;2524;1262;688;46758;1950;5801;4979;588;8751;14135;5349;6695;1634;20952;1302;3245;5324;7452;6497;4871;8751;22404;33812;9870;73550;8314;4171;60679;8316;17088;67764;18441;7878;10563;78328;6167;5973;1710;80038;15397;70808;86206;47435;19883;18888;66323;0;43440;35788;57245;69545;54341;21690;16660;29468;43484;11406;1876;9781;19668;22593;11734;44610;41595
7%;7%;8%;8%;8%;8%;7%;5%;5%;5%;6%;7%;5%;12%;8%;8%;10%;6%;5%;8%;6%;9%;7%;6%;5%;8%;11%;8%;10%;6%;8%;5%;8%;6%;6%;9%;8%;5%;8%;6%;7%;6%;7%;7%;7%;6%;7%;7%;7%;7%;8%;7%;8%;8%;0%;7%;7%;7%;7%;7%;6%;9%;7%;8%;7%;7%;9%;8%;8%;7%;7%;7%
;;;a;;bcdefgh;cdegh;;;;;cdeh;;bcdefghijklm;efhkl;fhkl;befghijklm;fl;l;efhkl;l;efhkl;fl;l;;efhkl;bcdef;df;bdef;f;df;;bc;;;bc;c;;bcdh;;d;;bdh;bd;bd;;bdh;;;c;c;;ac;ac;;;af;f;af;af;;abcdef;;ac;;;ade;ade;e;;;
58660;49104;1664;5469;2423;29230;20437;4318;2111;1401;1163;29431;2564;1972;3267;421;6212;9744;5200;4113;1267;12193;1003;3229;5178;4862;2487;3174;6212;16642;20737;9409;47574;6949;3872;38076;5324;15247;44436;14224;5509;8715;53151;3924;3792;1586;54737;11313;47347;58660;34455;14244;9962;44417;0;33067;26884;41309;49057;39635;17912;9604;19675;30333;7190;1434;5640;12653;14196;8360;28433;30228
5%;5%;5%;5%;5%;6%;4%;5%;4%;5%;10%;4%;7%;4%;5%;6%;7%;4%;5%;5%;4%;5%;6%;6%;4%;5%;4%;5%;7%;5%;5%;5%;5%;5%;5%;5%;5%;4%;5%;5%;5%;5%;5%;5%;5%;6%;5%;5%;5%;5%;6%;5%;4%;5%;0%;5%;5%;5%;5%;5%;5%;5%;4%;6%;4%;5%;5%;5%;5%;5%;5%;5%
;;;;;bcdg;;bg;;bdg;abcdegh;b;bcdeg;;e;;abefghilm;;el;el;;e;;aehil;;ael;;;abdef;;;;;;;c;c;;;;;;;;;;;b;;d;acde;;;cd;;;cd;;;;;;;ac;;;;de;;;;a
39648;32260;1411;4001;1975;1762;28394;5008;2259;1331;895;37886;2226;1394;1566;308;3030;5982;3587;2629;1414;7859;926;3262;4683;3008;1730;1538;3030;11073;13405;8871;30591;4694;4171;23116;4436;12068;28076;11572;3914;7658;35734;2967;2825;947;36681;9944;29704;39648;25702;8788;5158;30860;0;25834;20448;29553;35096;30056;14193;4552;15408;18343;4380;753;3257;7341;9863;5694;19639;20009
